HTTrack3.48-24 launched on Thu, 23 May 2019 18:27:24 at https://riot-os.org/api/
(httrack https://riot-os.org/api/ )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

18:27:40	Error: 	"Not Found" (404) at link https://riot-os.org/api/search.php (from https://riot-os.org/api/)
18:34:19	Error: 	"Not Found" (404) at link https://riot-os.org/api/README_8md.html (from https://riot-os.org/api/README_8md_source.html)
18:42:14	Error: 	"Not Found" (404) at link https://riot-os.org/api/namespaceriot.html (from https://riot-os.org/api/group__cpu__esp32.html)
18:42:32	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/eic__irq_8h_source.html (from https://riot-os.org/api/group__cpu__mips32r2__common.html)
18:46:00	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/debug_8h__dep__incl.png (from https://riot-os.org/api/debug_8h.html)
18:46:13	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/kernel__defines_8h__incl.png (from https://riot-os.org/api/kernel__defines_8h.html)
18:46:16	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/boards_2feather-m0_2include_2periph__conf_8h__incl.png (from https://riot-os.org/api/boards_2feather-m0_2include_2periph__conf_8h.html)
18:47:01	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/boards_2ek-lm4f120xl_2include_2periph__conf_8h__incl.png (from https://riot-os.org/api/boards_2ek-lm4f120xl_2include_2periph__conf_8h.html)
18:47:19	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/boards_2ikea-tradfri_2include_2periph__conf_8h__incl.png (from https://riot-os.org/api/boards_2ikea-tradfri_2include_2periph__conf_8h.html)
18:47:20	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/particle-mesh_2include_2periph__conf__common_8h_source.html (from https://riot-os.org/api/particle-mesh_2include_2periph__conf__common_8h.html)
18:47:21	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/boards_2nucleo-f303k8_2include_2periph__conf_8h_source.html (from https://riot-os.org/api/group__boards__nucleo-f303k8.html)
18:47:22	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/boards_2ublox-c030-u201_2include_2periph__conf_8h_source.html (from https://riot-os.org/api/boards_2ublox-c030-u201_2include_2periph__conf_8h.html)
18:47:48	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/lua__run_8h__incl.png (from https://riot-os.org/api/lua__run_8h.html)
18:47:50	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/hwrng_8h_source.html (from https://riot-os.org/api/hwrng_8h.html)
18:47:50	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/ds1307_8h_source.html (from https://riot-os.org/api/ds1307_8h.html)
18:47:51	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/tmp006_8h__dep__incl.png (from https://riot-os.org/api/tmp006_8h.html)
18:47:57	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/trickle_8h__incl.png (from https://riot-os.org/api/trickle_8h.html)
18:47:57	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/gnrc__netif__cc110x_8h_source.html (from https://riot-os.org/api/gnrc__netif__cc110x_8h.html)
18:48:05	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/atmega2560_2include_2periph__cpu_8h__incl.png (from https://riot-os.org/api/atmega2560_2include_2periph__cpu_8h.html)
18:48:12	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/esp8266_2include_2periph__cpu_8h_source.html (from https://riot-os.org/api/esp8266_2include_2periph__cpu_8h.html)
18:48:13	Error: 	"Not Found" (404) at link https://riot-os.org/api/atmega__common_2avr__libc__extra_2include_2sys_2time_8h.html (from https://riot-os.org/api/native__internal_8h_source.html)
18:48:26	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/cc430-rtc_8h__incl.png (from https://riot-os.org/api/cc430-rtc_8h.html)
18:48:38	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/structkw2xrf__t.html (from https://riot-os.org/api/group__drivers__kw2xrf.html)
18:48:47	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/event_8h__dep__incl.png (from https://riot-os.org/api/event_8h.html)
18:48:51	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/tm_8h__incl.png (from https://riot-os.org/api/tm_8h.html)
18:48:51	Error: 	"Not Found" (404) at link https://riot-os.org/api/doc_8txt_source.html (from https://riot-os.org/api/group__utils.html)
18:48:52	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/ndp_8h__incl.png (from https://riot-os.org/api/ndp_8h.html)
18:48:54	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/fib_8h__dep__incl.png (from https://riot-os.org/api/fib_8h.html)
18:48:54	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/portrange_8h__dep__incl.png (from https://riot-os.org/api/portrange_8h.html)
18:48:54	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/netif__types_8h__incl.png (from https://riot-os.org/api/netif__types_8h.html)
18:48:55	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/net_2ppp_2hdr_8h_source.html (from https://riot-os.org/api/net_2ppp_2hdr_8h.html)
18:48:55	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/boards_2nucleo-f207zg_2include_2periph__conf_8h__incl.png (from https://riot-os.org/api/boards_2nucleo-f207zg_2include_2periph__conf_8h.html)
18:48:55	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/wsn430_2include_2board__common_8h_source.html (from https://riot-os.org/api/wsn430_2include_2board__common_8h.html)
18:48:56	Error: 	"Not Found" (404) at link https://riot-os.org/api/mega-xplained_2include_2board_8h.html (from https://riot-os.org/api/mega-xplained_2include_2adc__params_8h_source.html)
18:48:56	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/enc28j60__params_8h_source.html (from https://riot-os.org/api/enc28j60__params_8h.html)
18:48:56	Error: 	"Not Found" (404) at link https://riot-os.org/api/esp32_2include_2stdio_8h.html (from https://riot-os.org/api/esp32_2include_2cpu_8h_source.html)
18:48:56	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/grove__ledbar_8h__incl.png (from https://riot-os.org/api/grove__ledbar_8h.html)
18:48:56	Error: 	"Not Found" (404) at link https://riot-os.org/api/__nib-internal_8h.html (from https://riot-os.org/api/struct__nib__onl__entry.html)
18:48:57	Warning: 	Retry after error -4 (No data (connection closed)) at link https://riot-os.org/api/bluetil_2addr_8h.html (from https://riot-os.org/api/sys_2include_2net_2ble_8h.html)
